id,t_depart_secs,t_arrival_secs,t_traveltime_secs,origin,destiny,route_detail,route_path_num,is_attended,has_finished
666,23,202,179,2/9to3/9,12/10to13/10,2/9to3/9:3/9to4/9:4/9to5/9:5/9to6/9:6/9to7/9:7/9to8/9:8/9to9/9:9/9to10/9:10/9to10/10:10/10to11/10:11/10to12/10:12/10to13/10:,12,False,True
1188,23,150,127,10/0to9/0,1/0to1/1,10/0to9/0:9/0to8/0:8/0to7/0:7/0to6/0:6/0to5/0:5/0to4/0:4/0to3/0:3/0to2/0:2/0to1/0:1/0to1/1:,10,True,True
1723,24,136,112,10/10to9/10,9/5to9/4,10/10to9/10:9/10to8/10:8/10to8/9:8/9to8/8:8/8to8/7:8/7to8/6:8/6to8/5:8/5to9/5:9/5to9/4:,9,True,True
1478,24,303,279,12/5to12/4,2/13to1/13,12/5to12/4:12/4to11/4:11/4to10/4:10/4to9/4:9/4to8/4:8/4to7/4:7/4to6/4:6/4to5/4:5/4to4/4:4/4to3/4:3/4to2/4:2/4to2/5:2/5to2/6:2/6to2/7:2/7to2/8:2/8to2/9:2/9to2/10:2/10to2/11:2/11to2/12:2/12to2/13:2/13to1/13:,21,True,True
512,24,239,215,11/13to10/13,1/7to1/6,11/13to10/13:10/13to9/13:9/13to8/13:8/13to7/13:7/13to6/13:6/13to5/13:5/13to4/13:4/13to3/13:3/13to2/13:2/13to1/13:1/13to1/12:1/12to1/11:1/11to1/10:1/10to1/9:1/9to1/8:1/8to1/7:1/7to1/6:,17,False,True
1783,24,172,148,6/5to6/6,12/3to13/3,6/5to6/6:6/6to6/5:6/5to7/5:7/5to8/5:8/5to9/5:9/5to10/5:10/5to10/4:10/4to11/4:11/4to11/3:11/3to12/3:12/3to13/3:,11,True,True
649,24,131,107,8/0to9/0,9/7to8/7,8/0to9/0:9/0to9/1:9/1to9/2:9/2to9/3:9/3to9/4:9/4to9/5:9/5to9/6:9/6to9/7:9/7to8/7:,9,False,True
2036,25,96,71,9/1to10/1,11/4to12/4,9/1to10/1:10/1to10/2:10/2to10/3:10/3to11/3:11/3to11/4:11/4to12/4:,6,True,True
2917,25,103,78,5/11to5/12,1/12to0/12,5/11to5/12:5/12to4/12:4/12to3/12:3/12to2/12:2/12to1/12:1/12to0/12:,6,True,True
2911,26,59,33,1/14to1/13,0/13to0/14,1/14to1/13:1/13to0/13:0/13to0/14:,3,False,True
2925,26,213,187,10/1to10/2,9/13to8/13,10/1to10/2:10/2to11/2:11/2to11/3:11/3to11/4:11/4to11/5:11/5to11/6:11/6to11/7:11/7to11/8:11/8to11/9:11/9to11/10:11/10to11/11:11/11to11/12:11/12to11/13:11/13to10/13:10/13to9/13:9/13to8/13:,16,True,True
1255,26,120,94,9/10to8/10,6/14to6/15,9/10to8/10:8/10to7/10:7/10to6/10:6/10to6/11:6/11to6/12:6/12to6/13:6/13to6/14:6/14to6/15:,8,False,True
2070,26,258,232,15/14to15/13,2/11to2/10,15/14to15/13:15/13to14/13:14/13to13/13:13/13to12/13:12/13to12/12:12/12to11/12:11/12to10/12:10/12to9/12:9/12to8/12:8/12to7/12:7/12to6/12:6/12to5/12:5/12to4/12:4/12to3/12:3/12to2/12:2/12to2/11:2/11to2/10:,17,True,True
